year,claim_metric,claim_value,claim_value_units,context,source_name,source_url
2016,spend,21,crore_rupees,"GHMC spending on plantation as part of statewide Phase 2 launch (46 crore saplings statewide target that year)",TheNewsMinute,https://www.thenewsminute.com/telangana/haritha-haram-over-25-lakh-saplings-planted-hyderabad-single-day-46329
2016,single_day_planted,25,lakh_saplings,"Reported single-day citywide planting count on Phase 2 launch day, not an annual total",TheNewsMinute,https://www.thenewsminute.com/telangana/haritha-haram-over-25-lakh-saplings-planted-hyderabad-single-day-46329
2017,achieved_FY17,84.91,lakh_saplings,"GHMC commissioner statement, planted against a target of 81 lakh for FY17",Deccan Chronicle (Pressreader),https://www.pressreader.com/india/deccan-chronicle/20170420/282398399293815
2018,target,100,lakh_saplings,"1 crore saplings planned for 2017-18 season, no confirmed achieved figure found",Deccan Chronicle (Pressreader),https://www.pressreader.com/india/deccan-chronicle/20170420/282398399293815
2019,achieved_snapshot,10.837,lakh_saplings,"Mid-season snapshot (specific date in reporting week, not year-end total) against a target of 250 lakh; GHMC flagged as a poor performer that year",The Hans India,https://www.thehansindia.com/telangana/ghmc-hmda-miss-haritha-haram-targets-551427
2020,target,250,lakh_saplings,"Phase 6 target announced by GHMC Mayor; ward-wise action plan prepared across 150 wards (pre-delimitation ward count)",Etemaad Daily,https://www.en.etemaaddaily.com/world/hyderabad/ghmc-to-plant-25-crore-saplings-during-haritha-haram-programme:77802
2020,target_alt,50,lakh_saplings,"A separate GHMC announcement the same year cites 50 lakh as the season target -- inconsistent with the 250 lakh figure above, illustrates the data-quality problem itself",Etemaad Daily,https://www.en.etemaaddaily.com/world/hyderabad/ghmc-to-plant-50-lakh-saplings-under-haritha-haram:77331
2022,nursery_stock,190,lakh_saplings,"Saplings raised and ready in GHMC's 600 nurseries as of mid-2022 -- stock on hand, not confirmed as planted",Etemaad Daily,https://www.en.etemaaddaily.com/world/hyderabad/ghmc-ready-with-19-cr-saplings-for-haritha-haram:114354
2023,target,100,lakh_saplings,"TKHH 2023 plant/distribute target announced for GHMC jurisdiction",Telangana Today,https://telanganatoday.com/ghmc-to-plant-1-crore-saplings-as-part-of-telangana-ku-haritha-haram-2023
2023,cumulative_to_date,106,lakh_saplings,"Cumulative saplings raised across 164 Haritha Vanams within GHMC limits, reported as a decade-to-date figure, not a single-year total",NewsMeter,https://newsmeter.in/hyderabad/telangana-green-hmda-plants-19-lakh-saplings-126-trees-day-haritha-haram-713855
